DataRef;Command
laminar/A330/buttons/hyd/elec_yellow_on;laminar/A330/buttons/hyd/elec_yellow_on
laminar/A330/buttons/hyd/eng1_pump_blue_pos;sim/flight_controls/hydraulic_eng1C_tog
laminar/A330/buttons/hyd/elec_blue_tog_pos;laminar/A330/buttons/hyd/elec_blue_toggle
laminar/A330/buttons/hyd/elec_blue_on;laminar/A330/buttons/hyd/elec_blue_on
laminar/A330/buttons/hyd/eng1_pump_green_pos;sim/flight_controls/hydraulic_eng1A_tog
laminar/A330/buttons/hyd/elec_green_tog_pos;laminar/A330/buttons/hyd/elec_green_toggle
laminar/A330/buttons/hyd/elec_green_on;laminar/A330/buttons/hyd/elec_green_on
laminar/A333/fire/buttons/eng2_agent1_pos;laminar/A333/fire/buttons/eng2_agent1_push
laminar/A333/fire/buttons/eng2_agent2_pos;laminar/A333/fire/buttons/eng2_agent2_push
laminar/A333/fire/buttons/eng1_agent2_pos;laminar/A333/fire/buttons/eng1_agent2_push
laminar/A333/fire/buttons/eng1_agent1_pos;laminar/A333/fire/buttons/eng1_agent1_push
laminar/A333/buttons/oxy/pax_oxy_maint_reset_pos;laminar/A333/buttons/oxygen/pax_reset_toggle
laminar/A333/buttons/cabin_fan_pos;laminar/A333/buttons/cabin_fan_tog
laminar/A333/buttons/ventilation_extract_ovrd_pos;laminar/A333/buttons/ventilation_extract_ovrd_tog
laminar/A333/buttons/cargo_cond/hot_air_pos;laminar/A333/buttons/cargo_cond/hot_air_tog
laminar/A333/buttons/cargo_cond/bulk_isol_valve_pos;laminar/A333/buttons/cargo_cond/bulk_isol_valve_tog
laminar/A333/buttons/fcc_prim3_pos;laminar/A333/buttons/fcc/prim3_toggle
laminar/A333/buttons/fcc_sec2_pos;laminar/A333/buttons/fcc/sec2_toggle
laminar/A333/buttons/fcc_prim2_pos;laminar/A333/buttons/fcc/prim2_toggle
laminar/A333/buttons/cargo_cond/fwd_isol_valve_pos;laminar/A333/buttons/cargo_cond/fwd_isol_valve_tog
laminar/A333/buttons/pax_IFEC_pos;laminar/A333/buttons/pax_IFEC_toggle
laminar/A333/buttons/pax_sys_pos;laminar/A333/buttons/pax_sys_toggle
laminar/A333/buttons/pax_satcom_pos;laminar/A333/buttons/pax_satcom_toggle
laminar/A333/buttons/oxy/crew_valve_pos;sim/oxy/crew_valve_toggle
laminar/A333/buttons/oxy/pax_masks_pos;sim/oxy/passenger_o2_on
laminar/A333/buttons/call/emergency_pos;laminar/A333/buttons/call/emergency_toggle
laminar/A333/buttons/rcdr/ground_control_pos;laminar/A333/buttons/rcdr/ground_control_push
laminar/A333/buttons/gpws/flap_toggle_pos;laminar/A333/buttons/gpws/flap_mode_toggle
laminar/A333/buttons/gpws/glideslope_toggle_pos;laminar/A333/buttons/gpws/gs_mode_toggle
laminar/A333/buttons/gpws/system_toggle_pos;laminar/A333/buttons/gpws/sys_toggle
laminar/A333/buttons/gpws/terrain_toggle_pos;laminar/A333/buttons/gpws/terr_toggle
laminar/A333/buttons/evac_command_pos;laminar/A333/buttons/evac_command_tog
laminar/A333/buttons/fcc_turb_damp_pos;sim/systems/yaw_damper_toggle
laminar/A333/buttons/fcc_prim1_pos;laminar/A333/buttons/fcc/prim1_toggle
laminar/A333/buttons/fcc_sec1_pos;laminar/A333/buttons/fcc/sec1_toggle
laminar/A333/fire/buttons/apu_agent_pos;laminar/A333/fire/buttons/apu_agent_push
laminar/A333/buttons/adirs/adr2_pos;laminar/A333/buttons/adirs/adr2_toggle
